"","time","S_1","E_1","I_1","A_1","R_1","S_2","E_2","I_2","A_2","R_2","S_3","E_3","I_3","A_3","R_3","S_1Q","E_1Q","I_1Q","A_1Q","R_1Q","S_2Q","E_2Q","I_2Q","A_2Q","R_2Q","S_3Q","E_3Q","I_3Q","A_3Q","R_3Q","I_1_cum","I_2_cum","I_3_cum","I_1Q_cum","I_2Q_cum","I_3Q_cum","A_1_cum","A_2_cum","A_3_cum","A_1Q_cum","A_2Q_cum","A_3Q_cum","D_1_cum","D_2_cum","D_3_cum","D_1Q_cum","D_2Q_cum","D_3Q_cum"
"1",1,465114.24,5.76,1.44,4.32,0,1162785.6,14.4,10.08,4.32,0,290696.4,3.6,2.52,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,465110.936056825,7.71179792247214,1.48682023670955,4.46046071012864,1.1648643056374,1162778.02657725,18.6568388306102,10.3659645927587,4.44255625403945,2.89788485303426,290696.05885553,3.25667036785718,2.49673569058204,1.07002958167801,0.667469211743907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338036313118898,2.32160874441349,0.479131871464547,0,0,0,1.01410893935669,0.994975176177212,0.994975176177212,0,0,0,0,0.0101782207582739,0.0101782207582739,0,0,0
"3",3,465107.464611901,9.46381210623553,1.6082229260223,4.8246687780669,2.39868428841661,1162770.09551215,22.4708945739453,11.1069704670652,4.76013020017073,5.94560988105265,290695.712328876,2.98052502763051,2.43862206700533,1.04512374300228,1.32376226664041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767893998126441,5.20351529068465,0.915002267702416,0,0,0,2.30368199437934,2.23007798172196,2.23007798172196,0,0,0,0,0.0208827241180977,0.0208827241180977,0,0,0
"4",4,465103.700664042,11.1649735413956,1.785382874284,5.35614862285198,3.75283091943466,1162761.53992799,26.1630779887829,12.1869542736778,5.22298040300468,9.25455463345132,290695.356133097,2.76325944063497,2.35994505223384,1.01140502238593,1.96160937077822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28359060414264,8.60789581247944,1.31642522378734,0,0,0,3.85077181242796,3.68909820534828,3.68909820534828,0,0,0,0,0.0325047076940088,0.0325047076940088,0,0,0
"5",5,465099.546184273,12.9130574310428,2.00832513927498,6.02497541782493,5.26745773906367,1162752.15056466,29.9445210479378,13.5437334467332,5.80445719145702,12.9113751251567,290694.986468393,2.59764139792677,2.27141564913598,0.973463849629706,2.57703996013491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88518957404088,12.5334400073048,1.69112314601172,0,0,0,5.65556872212267,5.37147428884487,5.37147428884487,0,0,0,0,0.0453485328028585,0.0453485328028585,0,0,0
"6",6,465094.916446001,14.7762477283911,2.27254621745778,6.81763865237332,6.97712140086528,1162741.74659023,33.962721970925,15.1485669006704,6.49224295743014,16.9902033664991,290694.599564837,2.47772713645995,2.18097156572203,0.934702099595157,3.16854195590055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57682656767409,17.003481458171,2.04589561855041,0,0,0,7.73047970302228,7.28720633921611,7.28720633921611,0,0,0,0,0.0596745727875034,0.0596745727875034,0,0,0
"7",7,465089.731628056,16.8059812655071,2.57703679247701,7.73111037743102,8.9142435088793,1162730.15766705,38.3290553706773,16.9941518935801,7.28320795439143,21.5601920229691,290694.191432463,2.39885315642728,2.09443898585122,0.897616708221953,3.73642257815943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36559766969682,22.0592943081093,2.38680006618628,0,0,0,10.0967930090905,9.45398327490395,9.45398327490395,0,0,0,0,0.0757257120726465,0.0757257120726465,0,0,0
"8",8,465083.91120196,19.0451089212378,2.9230649056635,8.7691947169905,11.1114294961644,1162717.21196104,43.1362705328572,19.0872067007832,8.18023144319283,26.6905851226556,290693.75771067,2.35753875134795,2.01607691402144,0.864032963152046,4.28231585242653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26092227970461,27.7562378958248,2.71932540509518,0,0,0,12.7827668391138,11.895530526782,11.895530526782,0,0,0,0,0.0937451559752081,0.0937451559752081,0,0,0
"9",9,465077.370296593,21.5326899097382,3.31351005445533,9.940530163366,13.6029732793185,1162702.72837295,48.4687870493959,21.4443834294916,9.19045004121084,32.4540185066461,290693.293579802,2.35135104985738,1.94900099996988,0.835286142844228,4.80882726512603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27425337428497,34.1619880001413,3.04854840382817,0,0,0,15.8227601228549,14.6408520000606,14.6408520000606,0,0,0,0,0.113988022853248,0.113988022853248,0,0,0
"10",10,465070.017007994,24.3070928432488,3.75248224189394,11.2574467256818,16.4259701951298,1162686.51078801,54.4093638568837,24.089910372815,10.3242473026351,38.928960536686,290692.793693798,2.37877684081949,1.89551277259098,0.812362616824701,5.31927819356449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41897479067641,41.3558936901059,3.37927055269328,0,0,0,19.2569243720292,17.7239544386168,17.7239544386168,0,0,0,0,0.136729916586453,0.136729916586453,0,0,0
"11",11,465061.750184343,27.4081648647495,4.24510481186147,12.7353144355844,19.6212315449236,1162668.343341,61.0437699835988,27.0542316936843,11.5946707258648,46.2017126477795,290692.252118325,2.43911084545862,1.85736060331206,0.796011687133737,5.81752064104825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71041269809239,49.4290223143023,3.71613958044515,0,0,0,23.1312380942771,21.1838667061296,21.1838667061296,0,0,0,0,0.162273953103089,0.162273953103089,0,0,0
"12",12,465052.457575286,30.8786197527665,4.79743970687208,14.3923191206163,23.2340461339896,1162647.98645977,68.4637793038116,30.3735158319372,13.0172210708306,54.3680674442023,290691.662269835,2.532364598697,1.83593529177789,0.786829410761936,6.30781880353058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16595124036956,58.4848326517485,4.06375589658582,0,0,0,27.4978537211086,25.0649282793209,25.0649282793209,0,0,0,0,0.190956584099054,0.190956584099054,0,0,0
"13",13,465042.014038069,34.7651244734855,5.41648052404903,16.2494415721471,27.3149153620194,1162625.17303083,76.7695150180656,34.0895812968763,14.6098205558045,63.5348991118706,290691.016845375,2.65920130953496,1.83241823473055,0.785322100598786,6.79477807143709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.805209364554,68.6402179033086,4.42676732075843,0,0,0,32.4156280936618,29.4172362442753,29.4172362442753,0,0,0,0,0.223153183032159,0.223153183032159,0,0,0
"14",14,465030.279667349,39.1192936827166,6.11018040458909,18.3305412137673,31.9203173501741,1162599.60440226,86.0715933776706,38.2500382061946,16.3928735169408,73.8218088105737,290690.30774103,2.82089145172637,1.84790044699769,0.79195733442756,7.2833040550514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6502597421327,80.0268030505518,4.80995726262773,0,0,0,37.950779226398,34.2972013073795,34.2972013073795,0,0,0,0,0.259283824221783,0.259283824221783,0,0,0
"15",15,465017.097845271,43.9985698277045,6.887520801448,20.6625624043441,37.1135016956347,1162570.94621644,96.4930193155158,42.9086812446842,18.3894348191506,85.3628289085933,290689.525959191,3.01928659448522,1.88347518887079,0.807203652373173,7.77859009697362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7258962253568,92.792534968734,5.21832795003368,0,0,0,44.1776886760702,39.7682292723148,39.7682292723148,0,0,0,0,0.299819268620246,0.299819268620246,0,0,0
"16",16,465002.293135283,49.4670826017035,7.75860888927796,23.275826667834,42.965346558816,1162538.82390912,108.171035147885,48.1260590282317,20.6254538692425,98.3082554359582,290688.661502565,3.25680983913401,1.94031177871026,0.83156219087579,8.28612667199522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0599455289821,107.103539013351,5.6571813167711,0,0,0,51.1798365869462,45.9015167200078,45.9015167200078,0,0,0,0,0.345287399925591,0.345287399925591,0,0,0
"17",17,464985.668953636,55.5965376391442,8.73480088527044,26.2044026558115,49.5553051840675,1162502.81773341,121.259029131736,53.9702031171855,23.1300870502228,112.826666977355,290687.703251909,3.53646389037945,2.01971271655566,0.865591164238093,8.81173169735472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6836271812875,123.146266222202,6.13219894037094,0,0,0,59.0508815438624,52.7769712380869,52.7769712380869,0,0,0,0,0.396280315525077,0.396280315525077,0,0,0
"18",18,464967.004974396,62.4671954969055,9.82884238915805,29.4865271674744,56.9724605508897,1162462.45721411,135.928635560921,60.5174612910823,25.9360548390357,129.107171975528,290686.638827339,3.86185229358428,2.1231634242919,0.90992718183934,9.36159367759466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6319575268807,141.129905227731,6.64952425688992,0,0,0,67.8958725806419,60.4842450975992,60.4842450975992,0,0,0,0,0.453462219683237,0.453462219683237,0,0,0
"19",19,464946.054239685,70.1689499988312,11.0550275803596,33.165082741079,65.3166999951233,1162417.21497165,152.372046361265,67.8534454155037,29.0800480352162,147.361910326203,290685.454432292,4.23721211311307,2.25237788506947,0.965304807886873,9.94232579879001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9442025791406,161.28908739076,7.21584891641668,0,0,0,77.8326077374218,69.12389459604,69.12389459604,0,0,0,0,0.517578209876273,0.517578209876273,0,0,0
"20",20,464922.539920955,78.8025192395276,12.4293819244639,37.2881457733921,74.7000321076465,1162366.49979942,170.804562864609,76.0741216718643,32.6031950022278,167.828856920293,290684.134677207,4.66745855576902,2.40934124331682,1.03257481856432,10.5610318025883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6643899513758,183.886946402628,7.838504965695,0,0,0,88.9931698541273,78.808691315412,78.808691315412,0,0,0,0,0.589464123653809,0.589464123653809,0,0,0
"21",21,464896.1517452,88.4807448502175,13.9698673633776,41.9096020901331,85.2480404965572,1162309.64902412,191.467378692628,85.2870367570262,36.5515871815829,190.774915840985,290682.662383884,5.15824033942017,2.5963503566157,1.1127215814067,11.2253825696805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8418774875171,209.218518030173,8.52556304347191,0,0,0,101.525632462551,89.6650791557883,89.6650791557883,0,0,0,0,0.670057406365723,0.670057406365723,0,0,0
"22",22,464866.541957679,99.3300522145573,15.6966157230213,47.0898471690643,97.1015272144143,1162245.91987404,214.63070674553,95.6127142822541,40.9768775495378,216.499417988557,290681.018363676,5.71600812990177,2.81605417790314,1.20688036195846,11.9437050978387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5319975266251,237.614593451337,9.28593973541603,0,0,0,115.595992579876,101.834825764859,101.834825764859,0,0,0,0,0.760409395845405,0.760409395845405,0,0,0
"23",23,464833.320801636,111.492087167973,17.6321892179322,52.8965676537973,110.418354324325,1162174.47981297,240.59728410693,107.186214105772,45.9369489024741,245.338040823127,290679.181168996,6.34809463058554,3.07149671580848,1.31635573534646,12.7250820472511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.7967777990139,269.446032044749,10.1295154610511,0,0,0,131.390333397042,115.476870876321,115.476870876321,0,0,0,0,0.861699089694871,0.861699089694871,0,0,0
"24",24,464796.051466338,125.125544012531,19.801871407528,59.4056142225848,125.375504019571,1162094.39573529,269.706287014922,120.158874687564,51.4966605803851,277.667193882948,290677.126815435,7.06280689281582,3.36616343499456,1.44264147214051,13.5794626713571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7057474124211,305.128584389587,11.0672643704245,0,0,0,149.117242237264,130.769393309823,130.769393309823,0,0,0,0,0.975248548510098,0.975248548510098,0,0,0
"25",25,464754.244444232,140.408202090473,22.2339928764742,66.7019786294234,142.171382172097,1162004.6218946,302.337693281674,134.700264146577,57.7286846342476,313.908923212763,290674.828471157,7.86953178119634,3.70403178840354,1.58744219503007,14.5177864624793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3368384194989,345.128288480683,12.1113979429578,0,0,0,169.010515258497,147.912123634578,147.912123634578,0,0,0,0,1.10254012167051,1.10254012167051,0,0,0
"26",26,464707.351220444,157.539197919701,24.9602960212304,74.8808880636923,161.028397551238,1161903.98640103,338.91715050263,151.000366395943,64.7144427411188,354.536403592562,290672.256109259,8.77885600909707,4.08962671541917,1.75269716375107,15.5521210932606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.7773954090404,389.967513927098,13.275524312497,0,0,0,191.332186227122,167.128934540184,167.128934540184,0,0,0,0,1.24523573765575,1.24523573765575,0,0,0
"27",27,464654.757212643,176.741563819128,28.0163430451087,84.0490291353271,182.195851358177,1161791.17611033,379.921416962768,169.272027035329,72.5451544437129,400.080092706451,290669.376118536,9.80270211143178,4.52808227710626,1.9406066901884,16.6958160584747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.1253058846534,440.231730893351,14.5748255469259,0,0,0,216.375917653961,188.670741811435,188.670741811435,0,0,0,0,1.40519851929009,1.40519851929009,0,0,0
"28",28,464595.77387753,198.265062828726,31.4419717180877,94.3259151542644,205.953172769295,1161664.71972443,425.884439937023,189.75368647184,81.3230084879318,451.134623676677,290666.150867952,10.9544817515798,5.02521057627661,2.15366167554712,17.9636735810634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.4902649104119,496.577084940157,16.0262552071845,0,0,0,244.470794731237,212.818750688637,212.818750688637,0,0,0,0,1.58451699234156,1.58451699234156,0,0,0
"29",29,464529.629892879,222.389350117639,35.2818043466274,105.845413039884,232.613539617144,1161522.96890637,477.404137132716,212.71243320345,91.1624713729077,508.366519738266,290662.53821955,12.2492680524052,5.58757893667659,2.39467668714712,19.3721387997149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.9951892509139,559.738869547445,17.6487586783974,0,0,0,275.985567752743,239.888086948903,239.888086948903,0,0,0,0,1.78553218171994,1.78553218171994,0,0,0
