Scenario,v11,v12,v13,v21,v22,v23,v31,v32,v33,s,e,p,R0,kappa,alpha1,alpha2,alpha3,epsilon,delta,gamma,m1,m2,m3,c,obs,e_ratio,k_report,k_inf,k_susp,young,medium,old,n,td,det_ini,det_inc,k_det_a,k_det_c,rdetecti,rdetecta
Base case,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Josh ,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.25,0.5,0.5,0.5,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Asymp equal inf,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,1,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
School closing,6.53398429,2.40832976,0.51711277,7.58940667,11.5437483,1.15178994,1.56874874,1.44751793,1.42567012,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Halve all contacts,4.880951475,1.1353202,0.14613088,3.343823215,5.166708,0.442640315,0.45784184,0.50705842,0.62474151,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Double transm,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.1,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Trans/10,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.005,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
SD 50%,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0.5,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
SD 50% test,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0.5,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
No asympt,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Higher detection,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,1,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0.1,0,0.5,0.1,0.01
FLAG NO CHANGE: Shorten inc,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
FLAG NO CHANGE: Double inc,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Double inf,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Kids less inf,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,0.5,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Kids less susp,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,0.5,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Kids less inf less susp,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,0.5,0.5,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
Base case,9.76190295,2.2706404,0.29226176,6.68764643,10.333416,0.88528063,0.91568368,1.01411684,1.24948302,0,0,0.05,2.2,0.375,0.75,0.3,0.3,2,0.2,0.2,0,0.005,0.1,0.13,100,1,1,1,1,0.24,0.6,0.15,1938000,2.5,0.1,0,0,0.5,0.1,0.01
