date,time,cases,cum_cases
2/29/20,1,1,1
3/1/20,2,0,1
3/2/20,3,0,1
3/3/20,4,1,2
3/4/20,5,0,2
3/5/20,6,2,4
3/6/20,7,3,7
3/7/20,8,5,12
3/8/20,9,2,14
3/9/20,10,11,25
3/10/20,11,7,32
3/11/20,12,21,53
3/12/20,13,35,88
3/13/20,14,49,137
3/14/20,15,48,185
3/15/20,16,84,269
3/16/20,17,195,464
3/17/20,18,459,923
3/18/20,19,1086,2009
3/19/20,20,1945,3954
3/20/20,21,1730,5684
3/21/20,22,2433,8117
3/22/20,23,2649,10766
3/23/20,24,2359,13125
3/24/20,25,2482,15607