date,time,cases,cum_cases
2/29/20,1,1,1
3/1/20,2,0,1
3/2/20,3,0,1
3/3/20,4,2,3
3/4/20,5,7,10
3/5/20,6,1,11
3/6/20,7,7,18
3/7/20,8,11,29
3/8/20,9,19,48
3/9/20,10,53,101
3/10/20,11,68,169
3/11/20,12,151,320
3/12/20,13,344,664
3/13/20,14,569,1233
3/14/20,15,544,1777
3/15/20,16,789,2566
3/16/20,17,1638,4204
3/17/20,18,1488,5692
3/18/20,19,1044,6736
3/19/20,20,919,7655
3/20/20,21,446,8101